Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_ValidateSearchField__002,Chrome 120.0.0.0,,,30-01-2024 15:12:52,30-01-2024 15:15:13,2m - 21.907s,PASSED
,,,,,,,
Test Cases/DataDrivenTesting/Validate_searchfield_TC_002,Chrome 120.0.0.0,validating the search field with with different inputs,,30-01-2024 15:12:52,30-01-2024 15:13:23,30.990s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,30-01-2024 15:12:52,30-01-2024 15:12:57,4.629s,PASSED
"navigateToUrl(""https://www.amazon.com/"")",Chrome 120.0.0.0,,,30-01-2024 15:12:57,30-01-2024 15:12:59,1.815s,PASSED
delay(3),Chrome 120.0.0.0,,,30-01-2024 15:12:59,30-01-2024 15:13:02,3.073s,PASSED
"selectOptionByLabel(findTestObject(""Object Repository/SearchField/Page_Amazon.com. Spend less. Smile more/select_All Departments""), category, false)",Chrome 120.0.0.0,,,30-01-2024 15:13:02,30-01-2024 15:13:13,10.962s,PASSED
"setText(findTestObject(""Object Repository/SearchField/Page_Amazon.com. Spend less. Smile more/input_field-keywords""), items)",Chrome 120.0.0.0,,,30-01-2024 15:13:13,30-01-2024 15:13:14,1.501s,PASSED
"click(findTestObject(""Object Repository/SearchField/Page_Amazon.com. Spend less. Smile more/inputnav-search-submit-button""))",Chrome 120.0.0.0,,,30-01-2024 15:13:14,30-01-2024 15:13:22,7.405s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,30-01-2024 15:13:22,30-01-2024 15:13:23,1.200s,PASSED
,,,,,,,
Test Cases/DataDrivenTesting/Validate_searchfield_TC_002,Chrome 120.0.0.0,validating the search field with with different inputs,,30-01-2024 15:13:23,30-01-2024 15:13:44,20.823s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,30-01-2024 15:13:23,30-01-2024 15:13:25,1.772s,PASSED
"navigateToUrl(""https://www.amazon.com/"")",Chrome 120.0.0.0,,,30-01-2024 15:13:25,30-01-2024 15:13:26,1.067s,PASSED
delay(3),Chrome 120.0.0.0,,,30-01-2024 15:13:26,30-01-2024 15:13:29,3.014s,PASSED
"selectOptionByLabel(findTestObject(""Object Repository/SearchField/Page_Amazon.com. Spend less. Smile more/select_All Departments""), category, false)",Chrome 120.0.0.0,,,30-01-2024 15:13:29,30-01-2024 15:13:35,5.970s,PASSED
"setText(findTestObject(""Object Repository/SearchField/Page_Amazon.com. Spend less. Smile more/input_field-keywords""), items)",Chrome 120.0.0.0,,,30-01-2024 15:13:35,30-01-2024 15:13:36,1.297s,PASSED
"click(findTestObject(""Object Repository/SearchField/Page_Amazon.com. Spend less. Smile more/inputnav-search-submit-button""))",Chrome 120.0.0.0,,,30-01-2024 15:13:36,30-01-2024 15:13:43,6.924s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,30-01-2024 15:13:43,30-01-2024 15:13:44,0.730s,PASSED
,,,,,,,
