Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Amazon_login_001,Chrome 120.0.0.0,DDT_Amazon_login_001 test case is used in the test suite,,30-01-2024 19:23:45,30-01-2024 19:24:21,36.223s,PASSED
,,,,,,,
Test Cases/DataDrivenTesting/DDT_Amazon_login_001,Chrome 120.0.0.0,Data driven testing to login into Amazon website,,30-01-2024 19:23:51,30-01-2024 19:24:21,30.453s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,30-01-2024 19:23:51,30-01-2024 19:23:53,2.002s,PASSED
"navigateToUrl(""https://www.amazon.com/"")",Chrome 120.0.0.0,,,30-01-2024 19:23:53,30-01-2024 19:23:55,1.794s,PASSED
"click(findTestObject(""Object Repository/DDT_Amazon_Login_001_OR/Page_Amazon.com. Spend less. Smile more/span_Hello, sign in""))",Chrome 120.0.0.0,,,30-01-2024 19:23:55,30-01-2024 19:24:15,20.121s,PASSED
"setText(findTestObject(""Object Repository/DDT_Amazon_Login_001_OR/Page_Amazon Sign-In/input_email""), ""tirumala1643@gmail.com"")",Chrome 120.0.0.0,,,30-01-2024 19:24:15,30-01-2024 19:24:17,1.930s,PASSED
"click(findTestObject(""Object Repository/DDT_Amazon_Login_001_OR/Page_Amazon Sign-In/inputcontinue""))",Chrome 120.0.0.0,,,30-01-2024 19:24:17,30-01-2024 19:24:19,2.282s,PASSED
"setEncryptedText(findTestObject(""Object Repository/DDT_Amazon_Login_001_OR/Page_Amazon Sign-In/input_password""), ""zJunTcfE+7qVant9yaEiCw=="")",Chrome 120.0.0.0,,,30-01-2024 19:24:19,30-01-2024 19:24:21,1.624s,PASSED
"click(findTestObject(""Object Repository/DDT_Amazon_Login_001_OR/Page_Amazon Sign-In/inputsignInSubmit""))",Chrome 120.0.0.0,,,30-01-2024 19:24:21,30-01-2024 19:24:21,0.435s,PASSED
